scenario,Worst Policies,Other Policies
2099,5,5
1100,5,5
1101,5,5
1102,5,5
1103,5,5
1104,5,5
1105,5,5
1106,5,5
2083,5,5
2082,5,5
2081,5,5
2080,5,5
2079,5,5
2078,5,5
2077,5,5
2076,5,5
2075,5,5
2074,5,5
2073,5,5
2072,5,5
2071,5,5
2070,5,5
2069,5,5
2068,5,5
1139,5,5
1138,5,5
1137,5,5
1136,5,5
1135,5,5
1134,5,5
1133,5,5
1132,5,5
1131,5,5
1130,5,5
1129,5,5
1128,5,5
1127,5,5
1126,5,5
1125,5,5
1124,5,5
1155,5,5
1154,5,5
1153,5,5
1152,5,5
1151,5,5
1150,5,5
1149,5,5
1148,5,5
1147,5,5
1146,5,5
1145,5,5
1144,5,5
1143,5,5
1142,5,5
1141,5,5
1140,5,5
1171,5,5
1170,5,5
1169,5,5
1168,5,5
1167,5,5
1166,5,5
1165,5,5
1164,5,5
1163,5,5
1162,5,5
1161,5,5
1160,5,5
1159,5,5
1158,5,5
1157,5,5
1156,5,5
1187,5,5
1186,5,5
1185,5,5
1184,5,5
1183,5,5
1182,5,5
1181,5,5
1180,5,5
1179,5,5
1178,5,5
1177,5,5
1176,5,5
1175,5,5
1174,5,5
1173,5,5
1172,5,5
1203,5,5
1202,5,5
1201,5,5
1200,5,5
1199,5,5
1198,5,5
1197,5,5
1196,5,5
1195,5,5
1194,5,5
1193,5,5
1192,5,5
1191,5,5
1190,5,5
1189,5,5
1188,5,5
1219,5,5
1218,5,5
1217,5,5
1216,5,5
1215,5,5
1214,5,5
1213,5,5
1212,5,5
1211,5,5
1210,5,5
1209,5,5
1208,5,5
1207,5,5
1206,5,5
1205,5,5
1204,5,5
1235,5,5
1234,5,5
1233,5,5
1232,5,5
1231,5,5
1230,5,5
1229,5,5
1228,5,5
1227,5,5
1226,5,5
1225,5,5
1224,5,5
1223,5,5
1222,5,5
1221,5,5
1220,5,5
1251,5,5
1250,5,5
1249,5,5
1248,5,5
1247,5,5
1246,5,5
1245,5,5
1244,5,5
1243,5,5
1242,5,5
1241,5,5
1240,5,5
1239,5,5
1238,5,5
1237,5,5
1236,5,5
1267,5,5
1266,5,5
1265,5,5
1264,5,5
1263,5,5
1262,5,5
1261,5,5
1260,5,5
1259,5,5
1258,5,5
1257,5,5
1256,5,5
1255,5,5
1254,5,5
1253,5,5
1252,5,5
1283,5,5
1282,5,5
1281,5,5
1280,5,5
1279,5,5
1278,5,5
1277,5,5
1276,5,5
1275,5,5
1274,5,5
1273,5,5
1272,5,5
1271,5,5
1270,5,5
1269,5,5
1268,5,5
1299,5,5
1298,5,5
1297,5,5
1296,5,5
1295,5,5
1294,5,5
1293,5,5
1292,5,5
1291,5,5
1290,5,5
1289,5,5
1288,5,5
1287,5,5
1286,5,5
1285,5,5
1284,5,5
1315,5,5
1314,5,5
1313,5,5
1312,5,5
1311,5,5
1310,5,5
1309,5,5
1308,5,5
1307,5,5
1306,5,5
1305,5,5
1304,5,5
1303,5,5
1302,5,5
1301,5,5
1300,5,5
1331,5,5
1330,5,5
1329,5,5
1328,5,5
1327,5,5
1326,5,5
1325,5,5
1324,5,5
1323,5,5
1322,5,5
1321,5,5
1320,5,5
1319,5,5
1318,5,5
1317,5,5
1316,5,5
1347,5,5
1346,5,5
1345,5,5
1344,5,5
1343,5,5
1342,5,5
1341,5,5
1340,5,5
1339,5,5
1338,5,5
1337,5,5
1336,5,5
1335,5,5
1334,5,5
1333,5,5
1332,5,5
1363,5,5
1362,5,5
1361,5,5
1360,5,5
1359,5,5
1358,5,5
1357,5,5
1356,5,5
1355,5,5
1354,5,5
1353,5,5
1352,5,5
1351,5,5
1350,5,5
1349,5,5
1348,5,5
1379,5,5
1378,5,5
1377,5,5
1376,5,5
1375,5,5
1374,5,5
1373,5,5
